traffic_load,rainfall,road_age,soil_moisture,damage_risk
4,92,13,4,32.199999999999996
9,278,19,2,90.3
6,186,4,7,59.79999999999999
9,41,28,5,21.599999999999998
5,74,3,3,24.900000000000002
6,252,17,5,81.8
1,152,2,9,48.099999999999994
3,286,3,8,88.89999999999999
6,170,12,7,56.599999999999994
2,52,18,5,20.8
9,98,24,6,38.10000000000001
8,242,17,2,78.80000000000001
6,282,7,1,88.0
9,251,3,5,79.6
8,119,2,1,38.699999999999996
6,105,26,3,39.1
4,200,23,1,66.0
4,20,29,8,14.6
7,262,15,4,84.49999999999999
7,105,2,2,34.4
2,268,20,4,85.79999999999998
3,4,9,4,4.699999999999999
2,105,9,5,34.9
7,234,10,9,76.1
3,29,26,6,16.0
3,154,26,7,53.699999999999996
1,51,23,4,21.0
9,147,17,9,52.0
1,231,17,3,73.6
1,92,9,7,31.099999999999998
4,271,10,8,86.1
9,290,15,4,93.5
2,55,12,1,19.7
4,200,16,2,64.80000000000001
2,257,28,4,84.09999999999998
4,184,27,3,62.4
2,26,10,7,11.8
8,203,10,3,65.89999999999999
2,257,1,2,78.3
4,109,20,3,38.5
6,68,11,3,25.0
8,5,21,1,8.299999999999999
5,127,4,1,40.6
4,116,24,9,42.599999999999994
6,244,12,7,78.80000000000001
2,299,8,4,92.69999999999999
4,16,5,4,7.8
4,151,21,5,51.7
4,101,17,3,35.5
9,269,24,9,90.0
8,26,18,2,14.2
3,92,9,4,31.099999999999998
9,220,15,6,72.9
9,198,16,1,65.5
3,31,4,1,11.2
8,266,6,1,83.60000000000001
3,239,26,5,78.80000000000001
7,24,3,3,10.499999999999998
1,140,18,5,46.9
9,294,16,9,95.9
2,120,7,8,39.6
5,121,21,4,42.8
5,144,21,6,50.1
9,202,16,1,66.7
8,159,28,5,56.699999999999996
4,189,28,8,65.1
8,183,9,6,60.3
9,34,26,3,18.7
7,259,26,3,85.6
8,86,2,6,29.799999999999997
3,229,22,4,74.80000000000001
4,8,18,6,8.399999999999999
1,131,25,7,45.99999999999999
8,238,16,9,78.8
4,16,17,8,11.0
4,137,15,5,46.300000000000004
2,155,22,2,51.9
1,297,14,5,93.19999999999999
8,218,29,6,74.8
6,198,21,5,66.39999999999999
6,7,7,2,5.7
9,256,25,7,85.9
6,193,24,9,66.3
6,169,4,4,54.09999999999999
8,153,2,5,49.699999999999996
3,251,4,3,77.6
5,90,29,8,35.9
1,48,11,7,18.299999999999997
1,290,21,5,92.5
9,56,21,4,24.5
4,249,24,8,82.3
5,199,3,6,63.0
6,131,14,6,45.099999999999994
1,201,19,5,65.39999999999999
9,190,23,6,65.5
7,166,15,4,55.699999999999996
2,15,18,1,8.899999999999999
4,236,25,3,77.6
6,136,20,2,46.99999999999999
3,240,27,9,80.10000000000001
8,74,18,7,29.599999999999998
4,127,5,9,42.1
4,287,19,7,92.5
8,210,24,3,70.8
3,79,21,1,28.999999999999996
4,244,18,6,79.2
3,201,5,8,63.8
5,76,26,4,30.3
3,140,17,1,46.5
9,24,21,1,14.299999999999997
4,200,16,8,66.0
4,71,9,8,25.900000000000002
6,176,28,7,61.599999999999994
9,166,14,8,56.9
8,83,10,3,29.9
6,49,7,3,18.5
7,177,7,8,58.2
9,185,29,7,65.4
5,239,3,8,75.39999999999999
1,232,27,5,76.3
9,290,24,4,95.3
8,92,19,5,34.8
5,223,13,2,71.39999999999999
3,85,2,8,28.4
8,8,21,3,9.6
7,32,21,1,16.099999999999998
1,2,20,5,5.9
7,177,19,7,60.4
7,3,22,6,8.600000000000001
2,198,28,5,66.6
8,172,3,6,55.800000000000004
6,187,1,4,58.9
2,108,23,1,37.800000000000004
1,41,14,7,16.8
6,233,8,8,74.89999999999998
9,56,9,1,21.5
8,138,11,5,47.0
9,292,11,3,93.1
5,95,9,2,32.2
4,175,24,5,59.5
4,81,25,8,32.1
6,91,24,4,34.7
2,235,4,9,73.69999999999999
9,224,22,8,75.9
7,112,10,6,38.900000000000006
5,236,17,5,76.7
9,228,14,4,74.69999999999999
8,25,13,8,14.1
6,24,10,8,12.6
2,70,4,6,23.6
7,227,15,5,74.19999999999999
7,205,23,4,69.0
8,16,13,6,11.0
3,62,21,5,24.699999999999996
4,70,3,4,23.6
8,154,26,7,55.199999999999996
5,16,18,3,10.5
7,63,29,1,27.0
2,281,17,6,89.5
2,165,21,3,54.900000000000006
5,3,26,1,7.8
1,228,18,6,73.49999999999999
4,106,11,6,36.400000000000006
1,146,4,8,46.49999999999999
6,216,7,3,68.6
1,190,20,6,62.5
7,238,13,5,77.09999999999998
4,47,14,6,19.299999999999997
9,248,3,6,78.89999999999999
1,188,26,1,62.1
5,157,22,1,53.2
1,175,24,1,57.8
5,7,28,4,10.000000000000002
9,173,7,7,57.4
2,183,7,8,58.5
1,238,4,8,74.09999999999998
